                                                                                                             List of functions
 Schema |               Name               |  Result data type  |          Argument data types           | Type | Volatility | Parallel | Owner  | Security | Access privileges | Language |          Internal name           | Description 
 public | sparsevec_typmod_in              | integer            | cstring[]                              | func | immutable  | safe     | cortex | invoker  |                   | c        | sparsevec_typmod_in              | 
 public | subvector                        | halfvec            | halfvec, integer, integer              | func | immutable  | safe     | cortex | invoker  |                   | c        | halfvec_subvector                | 
 public | subvector                        | vector             | vector, integer, integer               | func | immutable  | safe     | cortex | invoker  |                   | c        | subvector                        | 
 public | sum                              | halfvec            | halfvec                                | agg  | immutable  | safe     | cortex | invoker  |                   | internal | aggregate_dummy                  | 
 public | sum                              | vector             | vector                                 | agg  | immutable  | safe     | cortex | invoker  |                   | internal | aggregate_dummy                  | 
 public | vector                           | vector             | vector, integer, boolean               | func | immutable  | safe     | cortex | invoker  |                   | c        | vector                           | 
 public | vector_accum                     | double precision[] | double precision[], vector             | func | immutable  | safe     | cortex | invoker  |                   | c        | vector_accum                     | 
 public | vector_add                       | vector             | vector, vector                         | func | immutable  | safe     | cortex | invoker  |                   | c        | vector_add                       | 
 public | vector_avg                       | vector             | double precision[]                     | func | immutable  | safe     | cortex | invoker  |                   | c        | vector_avg                       | 
 public | vector_cmp                       | integer            | vector, vector                         | func | immutable  | safe     | cortex | invoker  |                   | c        | vector_cmp                       | 
 public | vector_combine                   | double precision[] | double precision[], double precision[] | func | immutable  | safe     | cortex | invoker  |                   | c        | vector_combine                   | 
 public | vector_concat                    | vector             | vector, vector                         | func | immutable  | safe     | cortex | invoker  |                   | c        | vector_concat                    | 
 public | vector_dims                      | integer            | halfvec                                | func | immutable  | safe     | cortex | invoker  |                   | c        | halfvec_vector_dims              | 
 public | vector_dims                      | integer            | vector                                 | func | immutable  | safe     | cortex | invoker  |                   | c        | vector_dims                      | 
 public | vector_eq                        | boolean            | vector, vector                         | func | immutable  | safe     | cortex | invoker  |                   | c        | vector_eq                        | 
 public | vector_ge                        | boolean            | vector, vector                         | func | immutable  | safe     | cortex | invoker  |                   | c        | vector_ge                        | 
 public | vector_gt                        | boolean            | vector, vector                         | func | immutable  | safe     | cortex | invoker  |                   | c        | vector_gt                        | 
 public | vector_in                        | vector             | cstring, oid, integer                  | func | immutable  | safe     | cortex | invoker  |                   | c        | vector_in                        | 
 public | vector_l2_squared_distance       | double precision   | vector, vector                         | func | immutable  | safe     | cortex | invoker  |                   | c        | vector_l2_squared_distance       | 
 public | vector_le                        | boolean            | vector, vector                         | func | immutable  | safe     | cortex | invoker  |                   | c        | vector_le                        | 
 public | vector_lt                        | boolean            | vector, vector                         | func | immutable  | safe     | cortex | invoker  |                   | c        | vector_lt                        | 
 public | vector_mul                       | vector             | vector, vector                         | func | immutable  | safe     | cortex | invoker  |                   | c        | vector_mul                       | 
 public | vector_ne                        | boolean            | vector, vector                         | func | immutable  | safe     | cortex | invoker  |                   | c        | vector_ne                        | 
 public | vector_negative_inner_product    | double precision   | vector, vector                         | func | immutable  | safe     | cortex | invoker  |                   | c        | vector_negative_inner_product    | 
 public | vector_norm                      | double precision   | vector                                 | func | immutable  | safe     | cortex | invoker  |                   | c        | vector_norm                      | 
 public | vector_out                       | cstring            | vector                                 | func | immutable  | safe     | cortex | invoker  |                   | c        | vector_out                       | 
 public | vector_recv                      | vector             | internal, oid, integer                 | func | immutable  | safe     | cortex | invoker  |                   | c        | vector_recv                      | 
 public | vector_send                      | bytea              | vector                                 | func | immutable  | safe     | cortex | invoker  |                   | c        | vector_send                      | 
 public | vector_spherical_distance        | double precision   | vector, vector                         | func | immutable  | safe     | cortex | invoker  |                   | c        | vector_spherical_distance        | 
 public | vector_sub                       | vector             | vector, vector                         | func | immutable  | safe     | cortex | invoker  |                   | c        | vector_sub                       | 
 public | vector_to_float4                 | real[]             | vector, integer, boolean               | func | immutable  | safe     | cortex | invoker  |                   | c        | vector_to_float4                 | 
 public | vector_to_halfvec                | halfvec            | vector, integer, boolean               | func | immutable  | safe     | cortex | invoker  |                   | c        | vector_to_halfvec                | 
 public | vector_to_sparsevec              | sparsevec          | vector, integer, boolean               | func | immutable  | safe     | cortex | invoker  |                   | c        | vector_to_sparsevec              | 
 public | vector_typmod_in                 | integer            | cstring[]                              | func | immutable  | safe     | cortex | invoker  |                   | c        | vector_typmod_in                 | 
(118 rows)

